canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
CIATEQ Advanced Technology Center,science_agency,2011,2011 07122010-MAT.pdf,"CIATEQ, A.C. Centro de Tecnología Avanzada",149613299.0,National Council of Science and Technology,0,72,True
CIATEQ Advanced Technology Center,science_agency,2012,2012 12122011-MAT.pdf,"CIATEQ, A.C. Centro de Tecnología Avanzada",165312.44,CIATEQ Advanced Technology Center,0,125,True
CIATEQ Advanced Technology Center,science_agency,2012,2012 12122011-MAT.pdf,"Total for CIATEQ, A.C. Centro de Tecnología Avanzada",165312.44,CIATEQ Advanced Technology Center,0,130,True
CIATEQ Advanced Technology Center,science_agency,2013,2013 27122012-MAT.pdf,"CIATEQ, A.C. Centro de Tecnología Avanzada",170308467.0,National Council of Science and Technology,0,179,True
CIATEQ Advanced Technology Center,science_agency,2014,2014 03122013-MAT.pdf,"CIATEQ, A.C. Centro de Tecnología Avanzada",246409525.0,National Council of Science and Technology,0,210,True
CIATEQ Advanced Technology Center,science_agency,2015,2015 03122014-MAT.pdf,"CIATEQ, A.C. Centro de Tecnología Avanzada",289524.739,CIATEQ Advanced Technology Center,0,251,True
CIATEQ Advanced Technology Center,science_agency,2015,2015 03122014-MAT.pdf,"CIATEQ, A.C. Centro de Tecnología Avanzada",259019.591,CIATEQ Advanced Technology Center,0,252,True
CIATEQ Advanced Technology Center,science_agency,2015,2015 03122014-MAT.pdf,"Total for CIATEQ, A.C. Centro de Tecnología Avanzada",626363.102,CIATEQ Advanced Technology Center,0,258,True
CIATEQ Advanced Technology Center,science_agency,2016,2016 27112015-MAT.pdf,"CIATEQ, A.C. Centro de Tecnología Avanzada",625054216.0,National Council of Science and Technology,0,272,True
CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,2011,2011 07122010-MAT.pdf,"Centro de Investigación Científica de Yucatán, A.C.",169203768.0,National Council of Science and Technology,0,88,True
CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,2013,2013 27122012-MAT.pdf,"Centro de Investigación Científica de Yucatán, A.C.",208205657.0,National Council of Science and Technology,0,197,True
CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,2014,2014 03122013-MAT.pdf,"Centro de Investigación Científica de Yucatán, A.C.",242522636.0,National Council of Science and Technology,0,227,True
CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,2016,2016 27112015-MAT.pdf,"Centro de Investigación Científica de Yucatán, A.C.",538429413.0,National Council of Science and Technology,0,291,True
CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,2017,2017 30112016-MAT.pdf,Budget for Centro de Investigación Científica de Yucatán,244633011.0,"Scientific Research Center of Yucatán, A.C.",0,322,True
CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,2024,2024 25112023-VES.pdf,"Centro de Investigación Científica de Yucatán, A.C.",375359683.0,"Humanities, Sciences, Technologies and Innovation",0,423,True
