country,year,source_file,file_path,missing_agencies
Sweden,1993,1993 prop_199293__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1993 prop_199293__100.pdf,Rymdstyrelsen
Sweden,1990,1990 prop_198990__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1990 prop_198990__100.pdf,FOI / FOA (Totalforsvaret forskningsinstitut)
Sweden,1992,1992 prop_199192__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1992 prop_199192__100.pdf,FOI / FOA (Totalforsvaret forskningsinstitut)
Sweden,1975,1975 prop_1975__1.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1975 prop_1975__1.pdf,Kungliga Tekniska Hogskolan (KTH)
Sweden,1980,1980 prop_197980__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1980 prop_197980__100.pdf,Kungliga Tekniska Hogskolan (KTH)
Sweden,1981,1981 prop_197980__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1981 prop_197980__100.pdf,Kungliga Tekniska Hogskolan (KTH)
Sweden,1982,1982 prop_198182__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1982 prop_198182__100.pdf,Kungliga Tekniska Hogskolan (KTH)
Sweden,1983,1983 prop_198283__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1983 prop_198283__100.pdf,Kungliga Tekniska Hogskolan (KTH)
Sweden,1985,1985 prop_198485__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1985 prop_198485__100.pdf,Kungliga Tekniska Hogskolan (KTH)
Sweden,1986,1986 prop_198586__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1986 prop_198586__100.pdf,Kungliga Tekniska Hogskolan (KTH)
Sweden,1988,1988 prop_198788__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1988 prop_198788__100.pdf,Kungliga Tekniska Hogskolan (KTH)
Sweden,1989,1989 prop_198889__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1989 prop_198889__100.pdf,Kungliga Tekniska Hogskolan (KTH)
Sweden,1991,1991 prop_199091__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1991 prop_199091__100.pdf,Universiteterna (collective Sweden)
Sweden,1991,1991a prop_199091__100.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/1991a prop_199091__100.pdf,Universiteterna (collective Sweden)
Sweden,2017,2017 download.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2017 download.pdf,Universiteterna (collective Sweden)
Sweden,2018,2018 budgetpropositionen-for-2018-hela-dokumentet-prop.-2017181.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2018 budgetpropositionen-for-2018-hela-dokumentet-prop.-2017181.pdf,Universiteterna (collective Sweden)
Sweden,2019,2019 budgetpropositionen-for-2019-hela-dokumentet-prop.-2018191.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Sweden/2019 budgetpropositionen-for-2019-hela-dokumentet-prop.-2018191.pdf,Universiteterna (collective Sweden)
