country,year,section_code,section_name_en,program_code,program_description,line_description,amount_local,currency,rd_category,pillar,decision,confidence,source_file,page_number
Denmark,1983,§14,Ministry of Housing,52.01,"Forskning og oplysning m.v., LB 89 1981 § 48 stk. 1, L 300","52.01 Forskning og oplysning m.v., LB 89 1981 § 48 stk. 1, L 300",8955000,DKK,direct_rd,Direct R&D,review,0.9,1983 19821_L1_som_vedtaget.pdf,61
Denmark,1979,§14,Ministry of Housing,53.02,"Forskning, oplysning og uddannelse (tekstanm. 1)","53.02 Forskning, oplysning og uddannelse (tekstanm. 1)",8712000,DKK,direct_rd,Direct R&D,include,0.85,1979 9781_L1_som_vedtaget.pdf,59
Denmark,1983,§14,Ministry of Housing,03.01,Byggestyrelsen,03.01 Byggestyrelsen,8640000,DKK,direct_rd,Direct R&D,review,0.95,1983 19821_L1_som_vedtaget.pdf,61
Denmark,1983,§14,Ministry of Housing,53.01,Forskning og oplysning (tekstanm. 4),53.01 Forskning og oplysning (tekstanm. 4),8640000,DKK,direct_rd,Direct R&D,include,0.85,1983 19821_L1_som_vedtaget.pdf,61
Denmark,1978,§22,Ministry of Defence,1.07,Forsvarets forskningstjeneste,1.07 Forsvarets forskningstjeneste,8627700,DKK,direct_rd,Direct R&D,review,0.9,1978 19771_L101_som_vedtaget.pdf,122
Denmark,1984,§14,Ministry of Housing,53.01,"Forskning og oplysning, LB 89 1981","53.01 Forskning og oplysning, LB 89 1981",8615000,DKK,direct_rd,Direct R&D,review,0.9,1984 19832_L1_som_vedtaget.pdf,73
Denmark,1975,§22,Ministry of Defence,1.15,Forsvarets forskningstjeneste,1.15 Forsvarets forskningstjeneste,8404000,DKK,direct_rd,Direct R&D,review,0.9,1975 19742_L1_som_vedtaget.pdf,143
Denmark,1984,§14,Ministry of Housing,03.01,Byggestyrelsen,03.01 Byggestyrelsen,8300000,DKK,direct_rd,Direct R&D,review,0.95,1984 19832_L1_som_vedtaget.pdf,73
Denmark,1978,§17,Ministry of Trade,74.08,Teknologisk Service L 142 1973,74.08 Teknologisk Service L 142 1973,8000000,DKK,innovation_system,Innovation,include,0.85,1978 19771_L101_som_vedtaget.pdf,84
Denmark,1982,§14,Ministry of Housing,53.01,Forskning og oplysning (saneringslov § 48),53.01 Forskning og oplysning (saneringslov § 48),7904000,DKK,direct_rd,Direct R&D,review,0.9,1982 19812_L1_som_vedtaget.pdf,60
Denmark,1982,§14,Ministry of Housing,03.01,Byggestyrelsen,03.01 Byggestyrelsen,7904000,DKK,direct_rd,Direct R&D,review,0.95,1982 19812_L1_som_vedtaget.pdf,60
Denmark,1982,§14,Ministry of Housing,53.01,Forskning og oplysning (tekstanm. 4),53.01 Forskning og oplysning (tekstanm. 4),7904000,DKK,direct_rd,Direct R&D,include,0.85,1982 19812_L1_som_vedtaget.pdf,60
Denmark,1983,§11,Ministry of Agriculture,53.08,Udnyttelse af overskudshalm 53.09. Forskningskontrakter (tekstanm. 2),53.08 Udnyttelse af overskudshalm 53.09. Forskningskontrakter (tekstanm. 2),7750000,DKK,direct_rd,Direct R&D,review,0.85,1983 19821_L1_som_vedtaget.pdf,42
Denmark,1980,§11,Ministry of Agriculture,53.24,Forskning og forsøg i forbindelse med landbrugets produkti-,53.24 Forskning og forsøg i forbindelse med landbrugets produkti-,7485000,DKK,direct_rd,Direct R&D,review,0.8,1980 19792_L1_som_vedtaget.pdf,40
Denmark,1975,§27,Ministry of the Environment,66.01,Anlægstilskud til udviklings- og forskningsprojekter samt i,66.01 Anlægstilskud til udviklings- og forskningsprojekter samt i,7365000,DKK,direct_rd,Direct R&D,include,0.8,1975 19742_L1_som_vedtaget.pdf,165
Denmark,1979,§11,Ministry of Agriculture,53.24,Forskning og forsøg i forbindelse med landbrugets produkti-,53.24 Forskning og forsøg i forbindelse med landbrugets produkti-,7000000,DKK,direct_rd,Direct R&D,review,0.8,1979 9781_L1_som_vedtaget.pdf,40
Denmark,1983,§10,Ministry of Foreign Affairs,52.01,Oplysningsvirksomhed 52.02. Forskningsvirksomhed . . . . .,52.01 Oplysningsvirksomhed 52.02. Forskningsvirksomhed . . . . .,6464000,DKK,direct_rd,Direct R&D,review,0.85,1983 19821_L1_som_vedtaget.pdf,35
Denmark,1975,§27,Ministry of the Environment,1.01,Departementet,1.01 Departementet,6347000,DKK,direct_rd,Direct R&D,review,0.95,1975 19742_L1_som_vedtaget.pdf,162
Denmark,1978,§14,Ministry of Housing,53.02,"Forskning, oplysning og uddannelse (tekstanm. 1 og 2).","53.02 Forskning, oplysning og uddannelse (tekstanm. 1 og 2).",6313800,DKK,direct_rd,Direct R&D,include,0.85,1978 19771_L101_som_vedtaget.pdf,61
Denmark,1975,§27,Ministry of the Environment,62.01,Tilskud til udviklings- og forskningsprojekter,62.01 Tilskud til udviklings- og forskningsprojekter,6200000,DKK,direct_rd,Direct R&D,include,0.95,1975 19742_L1_som_vedtaget.pdf,162
Denmark,1984,§10,Ministry of Foreign Affairs,54.01,Erstatninger,54.01 Erstatninger,6150000,DKK,direct_rd,Direct R&D,review,0.85,1984 19832_L1_som_vedtaget.pdf,41
Denmark,1981,§14,Ministry of Housing,03.01,Byggestyrelsen,03.01 Byggestyrelsen,5966000,DKK,direct_rd,Direct R&D,review,0.95,1981 19801_L1_som_vedtaget.pdf,69
Denmark,1981,§14,Ministry of Housing,53.01,Forskning og oplysning (tekstanm.l) 03.02. Godkendelsessekretariaterne vedrørende vand- og afløbsmateriel og,53.01 Forskning og oplysning (tekstanm.l) 03.02. Godkendelsessekretariaterne vedrørende vand- og afløbsmateriel og,5966000,DKK,direct_rd,Direct R&D,review,0.85,1981 19801_L1_som_vedtaget.pdf,69
Denmark,1982,§10,Ministry of Foreign Affairs,52.01,Oplysningsvirksomhed 52.02. Forskningsvirksomhed,52.01 Oplysningsvirksomhed 52.02. Forskningsvirksomhed,5710000,DKK,direct_rd,Direct R&D,review,0.85,1982 19812_L1_som_vedtaget.pdf,35
Denmark,1984,§11,Ministry of Agriculture,53.06,Forskning og forsøg i forbindelse med landbrugets produk-,53.06 Forskning og forsøg i forbindelse med landbrugets produk-,5554000,DKK,direct_rd,Direct R&D,review,0.85,1984 19832_L1_som_vedtaget.pdf,50
Denmark,1976,§27,Ministry of the Environment,3.01,Planstyrelsen,3.01 Planstyrelsen,5050000,DKK,direct_rd,Direct R&D,review,0.95,1976 19751_L100_som_vedtaget.pdf,160
Denmark,1980,§10,Ministry of Foreign Affairs,52.01,Oplysningsvirksomhed 52.02. Forskningsvirksomhed,52.01 Oplysningsvirksomhed 52.02. Forskningsvirksomhed,4908000,DKK,direct_rd,Direct R&D,review,0.85,1980 19792_L1_som_vedtaget.pdf,36
Denmark,1983,§29,Energiministeriet,02.06,Forsøgsanlæg Risø-,02.06 Forsøgsanlæg Risø-,4700000,DKK,direct_rd,Direct R&D,review,0.95,1983 19821_L1_som_vedtaget.pdf,157
Denmark,1983,§29,Energiministeriet,53.01,Uddannelse af videnskabsmænd 02.11. Dyskærgaard,53.01 Uddannelse af videnskabsmænd 02.11. Dyskærgaard,4700000,DKK,direct_rd,Direct R&D,review,0.85,1983 19821_L1_som_vedtaget.pdf,157
Denmark,1979,§10,Ministry of Foreign Affairs,52.01,Oplysningsvirksomhed 52.02. Forskningsvirksomhed,52.01 Oplysningsvirksomhed 52.02. Forskningsvirksomhed,4600000,DKK,direct_rd,Direct R&D,review,0.85,1979 9781_L1_som_vedtaget.pdf,36
Denmark,1984,§11,Ministry of Agriculture,53.01,Tværfaglige projekter under landbrugets samråd for forskning,53.01 Tværfaglige projekter under landbrugets samråd for forskning,4450000,DKK,direct_rd,Direct R&D,review,0.85,1984 19832_L1_som_vedtaget.pdf,50
Denmark,1984,§29,Energiministeriet,53.04,Tilskud til efterforskning af geotermisk energi,53.04 Tilskud til efterforskning af geotermisk energi,4400000,DKK,direct_rd,Direct R&D,review,0.9,1984 19832_L1_som_vedtaget.pdf,192
Denmark,1982,§29,Energiministeriet,02.06,Forsøgsanlæg Risø,02.06 Forsøgsanlæg Risø,4200000,DKK,direct_rd,Direct R&D,review,0.95,1982 19812_L1_som_vedtaget.pdf,154
Denmark,1982,§29,Energiministeriet,53.01,Uddannelse af videnskabsmænd 02.11. Dyskærgaard,53.01 Uddannelse af videnskabsmænd 02.11. Dyskærgaard,4200000,DKK,direct_rd,Direct R&D,review,0.85,1982 19812_L1_som_vedtaget.pdf,154
Denmark,1976,§10,Ministry of Foreign Affairs,52.01,Oplysningsvirksomhed 52.02. Forskningsvirksomhed,52.01 Oplysningsvirksomhed 52.02. Forskningsvirksomhed,4100000,DKK,direct_rd,Direct R&D,review,0.85,1976 19751_L100_som_vedtaget.pdf,40
Denmark,1977,§14,Ministry of Housing,53.02,"Forskning, oplysning og uddannelse 2. Administrationsbygninger, slotte og haver.","53.02 Forskning, oplysning og uddannelse 2. Administrationsbygninger, slotte og haver.",3805000,DKK,direct_rd,Direct R&D,include,0.85,1977 19762_L1_som_vedtaget.pdf,64
Denmark,1975,§19,Ministry of Foreign Affairs,62.01,Oplysningsvirksomhed 62.02. Forskningsvirksomhed,62.01 Oplysningsvirksomhed 62.02. Forskningsvirksomhed,3800000,DKK,direct_rd,Direct R&D,review,0.85,1975 19742_L1_som_vedtaget.pdf,40
Denmark,1978,§10,Ministry of Foreign Affairs,52.01,Oplysningsvirksomhed 52.02. Forskningsvirksomhed,52.01 Oplysningsvirksomhed 52.02. Forskningsvirksomhed,3725000,DKK,direct_rd,Direct R&D,review,0.85,1978 19771_L101_som_vedtaget.pdf,40
Denmark,1982,§11,Ministry of Agriculture,53.01,Tværfaglige projekter under landbrugets samråd for forskning,53.01 Tværfaglige projekter under landbrugets samråd for forskning,3710000,DKK,direct_rd,Direct R&D,include,0.8,1982 19812_L1_som_vedtaget.pdf,42
Denmark,1980,§29,Energiministeriet,02.06,Forsøgsanlæg Risø,02.06 Forsøgsanlæg Risø,3700000,DKK,direct_rd,Direct R&D,review,0.95,1980 19792_L1_som_vedtaget.pdf,152
Denmark,1980,§29,Energiministeriet,53.01,"Uddannelse af atomvidenskabsmænd i Danmark . . . . . . . . . ,","53.01 Uddannelse af atomvidenskabsmænd i Danmark . . . . . . . . . ,",3700000,DKK,direct_rd,Direct R&D,include,0.85,1980 19792_L1_som_vedtaget.pdf,152
Denmark,1979,§17,Ministry of Trade,51.04,"Danmarks tilskud til Eurochemic, europæisk selskab til be-","51.04 Danmarks tilskud til Eurochemic, europæisk selskab til be-",3500000,DKK,direct_rd,Direct R&D,review,0.85,1979 9781_L1_som_vedtaget.pdf,84
Denmark,1979,§17,Ministry of Trade,06.06,Forsøgsanlæg Risø,06.06 Forsøgsanlæg Risø,3500000,DKK,direct_rd,Direct R&D,review,0.95,1979 9781_L1_som_vedtaget.pdf,85
