country,year,source_file,page_number,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,amount_prior,unit,currency,rd_category,decision,confidence,llm_model,extraction_pass,notes
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,"ADMINISTRAC ION, CO NTROL Y ORGANIZACION INSTITUCIONAL PARA APOYO A LA ADMINISTRAC ION DEL ESTADO","ADMINISTRAC ION, CO NTROL Y ORGANIZACION INSTITUCIONAL PARA APOYO A LA ADMINISTRAC ION DEL ESTADO",,"ADMINISTRAC ION, CO NTROL Y ORGANIZACION INSTITUCIONAL PARA APOYO A LA ADMINISTRAC ION DEL ESTADO","ADMINISTRAC ION, CO NTROL Y ORGANIZACION INSTITUCIONAL PARA APOYO A LA ADMINISTRAC ION DEL ESTADO",123712746000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,ADMINISTRACION DE JUSTICIA,ADMINISTRACION DE JUSTICIA,,ADMINISTRACION DE JUSTICIA,ADMINISTRACION DE JUSTICIA,68163800000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,ADMINISTRACION DEL ESTADO PAGO DE RESERVAS,ADMINISTRACION DEL ESTADO PAGO DE RESERVAS,,ADMINISTRACION DEL ESTADO PAGO DE RESERVAS,ADMINISTRACION DEL ESTADO PAGO DE RESERVAS,6100000000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,"ADMINISTRACION, C ONTROL Y ORGANIZAC ION INSTITUC IONAL PARA APOYO A LA ADMINISTRACION DEL ESTADO","ADMINISTRACION, C ONTROL Y ORGANIZAC ION INSTITUC IONAL PARA APOYO A LA ADMINISTRACION DEL ESTADO",,"ADMINISTRACION, C ONTROL Y ORGANIZAC ION INSTITUC IONAL PARA APOYO A LA ADMINISTRACION DEL ESTADO","ADMINISTRACION, C ONTROL Y ORGANIZAC ION INSTITUC IONAL PARA APOYO A LA ADMINISTRACION DEL ESTADO",2844041000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,ADQUISIC ION DE INFRAESTRUC TURA PROPIA DEL,ADQUISIC ION DE INFRAESTRUC TURA PROPIA DEL,,ADQUISIC ION DE INFRAESTRUC TURA PROPIA DEL,ADQUISIC ION DE INFRAESTRUC TURA PROPIA DEL,7385000000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,"ADQUISIC ION Y/O PRODUC CION DE EQUIPOS, MATERIALES SUMINISTRO S Y SERVIC IOS PROPIOS DEL SECTOR","ADQUISIC ION Y/O PRODUC CION DE EQUIPOS, MATERIALES SUMINISTRO S Y SERVIC IOS PROPIOS DEL SECTOR",,"ADQUISIC ION Y/O PRODUC CION DE EQUIPOS, MATERIALES SUMINISTRO S Y SERVIC IOS PROPIOS DEL SECTOR","ADQUISIC ION Y/O PRODUC CION DE EQUIPOS, MATERIALES SUMINISTRO S Y SERVIC IOS PROPIOS DEL SECTOR",53982907175.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,"ADQUISIC ION Y/O PRODUCC ION DE EQUIPOS, MATERIALES SUMINISTROS Y SERVIC IOS PROPIOS DEL SECTO R","ADQUISIC ION Y/O PRODUCC ION DE EQUIPOS, MATERIALES SUMINISTROS Y SERVIC IOS PROPIOS DEL SECTO R",,"ADQUISIC ION Y/O PRODUCC ION DE EQUIPOS, MATERIALES SUMINISTROS Y SERVIC IOS PROPIOS DEL SECTO R","ADQUISIC ION Y/O PRODUCC ION DE EQUIPOS, MATERIALES SUMINISTROS Y SERVIC IOS PROPIOS DEL SECTO R",8000000000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,"ADQUISIC ION Y/O PRODUCC ION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVIC IOS ADMINISTRATIVOS","ADQUISIC ION Y/O PRODUCC ION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVIC IOS ADMINISTRATIVOS",,"ADQUISIC ION Y/O PRODUCC ION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVIC IOS ADMINISTRATIVOS","ADQUISIC ION Y/O PRODUCC ION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVIC IOS ADMINISTRATIVOS",6735000000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,"ADQUISICIO N Y/O PRODUC CION DE EQUIPO S, MATERIALES SUMINISTROS Y SERVIC IOS PROPIOS DEL SEC TOR","ADQUISICIO N Y/O PRODUC CION DE EQUIPO S, MATERIALES SUMINISTROS Y SERVIC IOS PROPIOS DEL SEC TOR",,"ADQUISICIO N Y/O PRODUC CION DE EQUIPO S, MATERIALES SUMINISTROS Y SERVIC IOS PROPIOS DEL SEC TOR","ADQUISICIO N Y/O PRODUC CION DE EQUIPO S, MATERIALES SUMINISTROS Y SERVIC IOS PROPIOS DEL SEC TOR",100055299000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,"ADQUISICIO N Y/O PRODUC CION DE EQUIPO S, MATERIALES, SUMINISTROS Y SERVIC IOS ADMINISTRATIVOS","ADQUISICIO N Y/O PRODUC CION DE EQUIPO S, MATERIALES, SUMINISTROS Y SERVIC IOS ADMINISTRATIVOS",,"ADQUISICIO N Y/O PRODUC CION DE EQUIPO S, MATERIALES, SUMINISTROS Y SERVIC IOS ADMINISTRATIVOS","ADQUISICIO N Y/O PRODUC CION DE EQUIPO S, MATERIALES, SUMINISTROS Y SERVIC IOS ADMINISTRATIVOS",1870000000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
