year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2002,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year; dropped after source audit: traceable but not a defensible final R&D appropriation
2003,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2003,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2003,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2003,ICA (Instituto Colombiano Agropecuario),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2003,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2003,Instituto Nacional de Salud (Colombia),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2003,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year; dropped after source audit: traceable but not a defensible final R&D appropriation
2004,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2004,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,6163171417.0,unit,COP,section_total,pdf_70cd4b33da92__2004_Ley_848_de_2003.txt,0.0,,,"SECCION: 0320 INSTITUTO COLOMBIANO PARA EL DESARROLLO DE LA CIENCIA Y LA TECNOLOGÍA ""FRANCISCO JOSE DE CALDAS”- (COLCIENCIAS) A. PRESUPUESTO DE FUNCIONAMIENTO",covered_by_final_series,,,Main Colombian science agency. Budget SECCIÓN ~1114. Replaced by MinCiencias in 2019.
2004,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2004,ICA (Instituto Colombiano Agropecuario),science_agency,48644800000.0,unit,COP,section_total,pdf_70cd4b33da92__2004_Ley_848_de_2003.txt,0.0,,,SECCION: 1702 INSTITUTO COLOMBIANO AGROPECUARIO. (ICA) A. PRESUPUESTO DE FUNCIONAMIENTO,covered_by_final_series,,,
2004,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,21057246156.0,unit,COP,section_total,pdf_70cd4b33da92__2004_Ley_848_de_2003.txt,0.0,,,SECCION: 3202 INSTITUTO DE HIDROLOGIA. METEOROLOGIA Y ESTUDIOS AMBIENTALES-IDEAM A. PRESUPUESTO DE FUNCIONAMIENTO,covered_by_final_series,,,
2004,Instituto Nacional de Salud (Colombia),science_agency,8907500000.0,unit,COP,section_total,pdf_70cd4b33da92__2004_Ley_848_de_2003.txt,0.0,,,SECCION: 3606 INSTITUTO NACIONAL DE SALUD (INS) A. PRESUPUESTO DE FUNCIONAMIENTO,covered_by_final_series,,,
2004,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,"SECCIÓN 3602. Include only R&D/innovation investment sub-programmes, not pure vocational training.; dropped after source audit: traceable but not a defensible final R&D appropriation"
2005,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2005,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2005,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2005,ICA (Instituto Colombiano Agropecuario),science_agency,51221600000.0,unit,COP,section_total,pdf_99bcb6e78208__2005_Ley_921_de_2004.txt,0.0,,,SECCION: 1702 INSTITUTO COLOMBIANO AGROPECUARIO (ICA) A. PRESUPUESTO DE FUNCIONAMIENTO.,covered_by_final_series,,,
2005,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,22517146961.0,unit,COP,section_total,pdf_99bcb6e78208__2005_Ley_921_de_2004.txt,0.0,,,"SECCION: 3202 INSTITUTO DE HIDROLOGIA, METEOROLOGIA Y ESTUDIOS AMBIENTALES- IDEAM A. PRESUPUESTO DE FUNCIONAMIENTO.",covered_by_final_series,,,
2005,Instituto Nacional de Salud (Colombia),science_agency,10534000000.0,unit,COP,section_total,pdf_99bcb6e78208__2005_Ley_921_de_2004.txt,0.0,,,SECCION: 3606 INSTITUTO NACIONAL DE SALUD (INS) A. PRESUPUESTO DE FUNCIONAMIENTO.,covered_by_final_series,,,
2005,National Environmental Fund,innovation_instruments,,,,,,,,,,covered_by_final_series,,,This fund is likely to support environmental research and development initiatives.; dropped after source audit: traceable but not a defensible final R&D appropriation
