country,year,era_name,rollup_method,analytical_coverage_status,analytical_rollup_nzd,analytical_components,institutional_total_nzd,institutional_series_count,institutional_rows,source_file_count,canonical_list
New Zealand,2015,cri_transition_era,transitional_portfolio_sum,broad_proxy,318959000.0,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand) | Callaghan Innovation,318959000.0,3,3,1,Callaghan Innovation | Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand)
New Zealand,2016,modern_portfolio_era,modern_portfolio_sum,broad_proxy,254418000.0,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand),254418000.0,5,5,1,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand)
New Zealand,2017,modern_portfolio_era,modern_portfolio_sum,broad_proxy,551473000.0,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Regional Research Institutes,551473000.0,7,7,1,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Regional Research Institutes | Strategic Science Investment Fund (New Zealand)
New Zealand,2018,modern_portfolio_era,modern_portfolio_sum,broad_proxy,784485000.0,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand) | Regional Research Institutes,784485000.0,8,8,1,Callaghan Innovation | Catalyst Fund (New Zealand) | Endeavour Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Regional Research Institutes | Strategic Science Investment Fund (New Zealand)
New Zealand,2019,modern_portfolio_era,modern_portfolio_sum,partial_proxy,573753000.0,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Endeavour Fund (New Zealand) | Regional Research Institutes,573753000.0,7,7,1,Callaghan Innovation | Catalyst Fund (New Zealand) | Endeavour Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Regional Research Institutes
New Zealand,2020,modern_portfolio_era,modern_portfolio_sum,broad_proxy,910856000.0,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),910856000.0,7,7,1,Callaghan Innovation | Catalyst Fund (New Zealand) | Endeavour Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand)
New Zealand,2021,modern_portfolio_era,modern_portfolio_sum,broad_proxy,917746000.0,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand) | Regional Research Institutes,917746000.0,8,8,1,Callaghan Innovation | Catalyst Fund (New Zealand) | Endeavour Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Regional Research Institutes | Strategic Science Investment Fund (New Zealand)
New Zealand,2022,modern_portfolio_era,modern_portfolio_sum,broad_proxy,961059000.0,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand) | Regional Research Institutes,961059000.0,8,8,1,Callaghan Innovation | Catalyst Fund (New Zealand) | Endeavour Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Regional Research Institutes | Strategic Science Investment Fund (New Zealand)
New Zealand,2023,modern_portfolio_era,modern_portfolio_sum,broad_proxy,940673000.0,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),940673000.0,7,7,1,Callaghan Innovation | Catalyst Fund (New Zealand) | Endeavour Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand)
New Zealand,2024,modern_portfolio_era,modern_portfolio_sum,broad_proxy,970090000.0,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),970090000.0,7,7,1,Callaghan Innovation | Catalyst Fund (New Zealand) | Endeavour Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand)
New Zealand,2025,modern_portfolio_era,modern_portfolio_sum,broad_proxy,947492000.0,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),947492000.0,7,7,1,Callaghan Innovation | Catalyst Fund (New Zealand) | Endeavour Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand)
