dataset,country,year,series_name,canonical_name,category,research_role,research_role_note,observation_status,gap_type,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_excerpt,diagnosis,action,series_notes
institutional_panel,New Zealand,2025,Callaghan Innovation,Callaghan Innovation,science_agency,modern_portfolio_component,Modern portfolio component tracked on the comparable operations line.,observed,ok,95479000.0,dollar,NZD,line_item,2025_Appropriation Estimates Act.pdf,11.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2025_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_b985008ddcba__2025_Appropriation_Estimates_Act.txt.gz,Callaghan Innovation - Operations,verified_against_compiled_series,"554,800 | Science, Innovation and Technology: | Callaghan Innovation - Operations | 95,479 | Science, Innovation and Technology: | Contract Management",,none,Tracks the comparable agency / operations appropriation. Excludes early strategic-investment rows.
institutional_panel,New Zealand,2016,Catalyst Fund (New Zealand),Catalyst Fund (New Zealand),rd_fund,modern_portfolio_component,Modern portfolio component. International research collaboration fund.,observed,ok,12675000.0,dollar,NZD,program_total,2016_Appropriation Estimates Act.pdf,9.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2016_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_46a192ff6d77__2016_Appropriation_Estimates_Act.txt.gz,Catalyst Fund,verified_against_compiled_series,"Energy Agency Contribution | 150 | Science and Innovation: Catalyst Fund | 12,675 | Science and Innovation: Māori Innovation | Fund",,none,
institutional_panel,New Zealand,2017,Catalyst Fund (New Zealand),Catalyst Fund (New Zealand),rd_fund,modern_portfolio_component,Modern portfolio component. International research collaboration fund.,observed,ok,13351000.0,dollar,NZD,program_total,2017_Appropriation Estimates Act.pdf,9.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2017_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_6a346dcfa253__2017_Appropriation_Estimates_Act.txt.gz,Catalyst Fund,verified_against_compiled_series,"Energy Agency Contribution | 150 | Science and Innovation: Catalyst Fund | 13,351 | Science and Innovation: Regional | Research Institutes",,none,
institutional_panel,New Zealand,2018,Catalyst Fund (New Zealand),Catalyst Fund (New Zealand),rd_fund,modern_portfolio_component,Modern portfolio component. International research collaboration fund.,observed,ok,8251000.0,dollar,NZD,program_total,2018_Appropriation Estimates Act.pdf,10.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2018_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_396e02db9140__2018_Appropriation_Estimates_Act.txt.gz,Catalyst Fund,verified_against_compiled_series,"Research, Science and Innovation: | Catalyst Fund | 8,251 | Research, Science and Innovation: | Regional Research Institutes",,none,
institutional_panel,New Zealand,2019,Catalyst Fund (New Zealand),Catalyst Fund (New Zealand),rd_fund,modern_portfolio_component,Modern portfolio component. International research collaboration fund.,observed,ok,17451000.0,dollar,NZD,program_total,2019_Appropriation Estimates Act.pdf,10.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2019_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_1e4f80dc63ee__2019_Appropriation_Estimates_Act.txt.gz,Catalyst Fund,verified_against_compiled_series,"Energy and Resources: International | Energy Agency Contribution | 248 | Māori Development: Māori Innovation | Fund | 1,000 | Research, Science and Innovation: Catalyst | Fund | 17,451 | Research, Science and Innovation:",,none,
institutional_panel,New Zealand,2020,Catalyst Fund (New Zealand),Catalyst Fund (New Zealand),rd_fund,modern_portfolio_component,Modern portfolio component. International research collaboration fund.,observed,ok,34751000.0,dollar,NZD,program_total,2020_Appropriation Estimates Act.pdf,9.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2020_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_372745993e00__2020_Appropriation_Estimates_Act.txt.gz,"Research, Science and Innovation: Catalyst Fund",verified_against_compiled_series,"8,400 | Impairment of Debt and Debt Write Offs | 225 | Maori Development: Maori Innovation | Fund | 1,000 | Research, Science and Innovation: | Catalyst Fund | 34,751 | Research, Science and Innovation:",,none,
institutional_panel,New Zealand,2021,Catalyst Fund (New Zealand),Catalyst Fund (New Zealand),rd_fund,modern_portfolio_component,Modern portfolio component. International research collaboration fund.,observed,ok,36501000.0,dollar,NZD,program_total,2021_Appropriation Estimates Act.pdf,11.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2021_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_50aa5a505213__2021_Appropriation_Estimates_Act.txt.gz,Catalyst Fund,verified_against_compiled_series,"1,000 | Research, Science and Innovation: | Catalyst Fund | 36,501 | Research, Science and Innovation: | Regional Research Institutes",,none,
institutional_panel,New Zealand,2022,Catalyst Fund (New Zealand),Catalyst Fund (New Zealand),rd_fund,modern_portfolio_component,Modern portfolio component. International research collaboration fund.,observed,ok,45251000.0,dollar,NZD,program_total,2022_Appropriation Estimates Act.pdf,10.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2022_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_f44accf0bd97__2022_Appropriation_Estimates_Act.txt.gz,Catalyst Fund,verified_against_compiled_series,"1,000 | Research, Science and Innovation: | Catalyst Fund | 45,251 | Research, Science and Innovation: | Innovation Development Grant",,none,
institutional_panel,New Zealand,2023,Catalyst Fund (New Zealand),Catalyst Fund (New Zealand),rd_fund,modern_portfolio_component,Modern portfolio component. International research collaboration fund.,observed,ok,35751000.0,dollar,NZD,program_total,2023_Appropriation Estimates Act.pdf,10.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2023_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_3313b849ac51__2023_Appropriation_Estimates_Act.txt.gz,Catalyst Fund,verified_against_compiled_series,"1,000 | Research, Science and Innovation: | Catalyst Fund | 35,751 | Research, Science and Innovation: | Innovative Partnerships Strategic",,none,
institutional_panel,New Zealand,2024,Catalyst Fund (New Zealand),Catalyst Fund (New Zealand),rd_fund,modern_portfolio_component,Modern portfolio component. International research collaboration fund.,observed,ok,52961000.0,dollar,NZD,program_total,2024_Appropriation Estimates Act.pdf,10.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2024_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_03fa7bcc1884__2024_Appropriation_Estimates_Act.txt.gz,Catalyst Fund,verified_against_compiled_series,"2,000 | Science, Innovation and Technology: | Catalyst Fund | 52,961 | Science, Innovation and Technology: | Innovative Partnerships Strategic",,none,
