country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
Japan,2005,JSPS (Japan Society for the Promotion of Science),science_agency,29655107000.0,JPY,yen,verified_override,original_pdf,2005 DL200511001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2009,JSPS (Japan Society for the Promotion of Science),science_agency,28672449000.0,JPY,yen,verified_override,original_pdf,2009 DL200911001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2011,JSPS (Japan Society for the Promotion of Science),science_agency,29229937000.0,JPY,yen,verified_override,original_pdf,2011 DL201111001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2012,JSPS (Japan Society for the Promotion of Science),science_agency,29229437000.0,JPY,yen,verified_override,original_pdf,2012 DL201211001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2024,JSPS (Japan Society for the Promotion of Science),science_agency,27498267000.0,JPY,yen,verified_override,original_pdf,2024 DL202411001.pdf,,Verified against original Japan budget tables,gap: no matching rows in this year; manual override from original Japan budget file,verified_against_original_file
Japan,2000,JST (Japan Science and Technology Agency),science_agency,81940072000.0,JPY,yen,verified_override,original_pdf,2000 DL200011001.pdf,,Verified against original Japan budget tables,gap: no matching rows in this year; manual override from original Japan budget file,verified_against_original_file
Japan,2005,JST (Japan Science and Technology Agency),science_agency,99611126000.0,JPY,yen,verified_override,original_pdf,2005 DL200511001.pdf,,Verified against original Japan budget tables,JST created 1996 from JRDC + STA functions; pre-1996 bridge rolls up historical predecessor institutions.; manual override from original Japan budget file,verified_against_original_file
Japan,2012,JST (Japan Science and Technology Agency),science_agency,100646191000.0,JPY,yen,verified_override,original_pdf,2012 DL201211001.pdf,,Verified against original Japan budget tables,JST created 1996 from JRDC + STA functions; pre-1996 bridge rolls up historical predecessor institutions.; manual override from original Japan budget file,verified_against_original_file
Japan,2016,JST (Japan Science and Technology Agency),science_agency,100888373000.0,JPY,yen,verified_override,original_pdf,2016 DL201611001.pdf,,Verified against original Japan budget tables,JST created 1996 from JRDC + STA functions; pre-1996 bridge rolls up historical predecessor institutions.; manual override from original Japan budget file,verified_against_original_file
Japan,2024,JST (Japan Science and Technology Agency),science_agency,100970256000.0,JPY,yen,verified_override,original_pdf,2024 DL202411001.pdf,,Verified against original Japan budget tables,JST created 1996 from JRDC + STA functions; pre-1996 bridge rolls up historical predecessor institutions.; manual override from original Japan budget file,verified_against_original_file
