country,year,source_file,page_number,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,amount_prior,unit,currency,rd_category,decision,confidence,llm_model,extraction_pass,notes
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,NORTHERN CANADA POWER COMMISSION,NORTHERN CANADA POWER COMMISSION,,NORTHERN CANADA POWER COMMISSION,NORTHERN CANADA POWER COMMISSION,6743.0,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,PARKS PROGRAM,PARKS PROGRAM,,PARKS PROGRAM,PARKS PROGRAM,28036.0,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,PROGRAMME D'EMPLOI ET D'ASSURANCE,PROGRAMME D'EMPLOI ET D'ASSURANCE,,PROGRAMME D'EMPLOI ET D'ASSURANCE,PROGRAMME D'EMPLOI ET D'ASSURANCE,9900.0,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,PROGRAMME DES SERVICES SOCIAUX,PROGRAMME DES SERVICES SOCIAUX,,PROGRAMME DES SERVICES SOCIAUX,PROGRAMME DES SERVICES SOCIAUX,13770.0,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,PROGRAMME DU TRIBUNAL D'APPEL DES ANCIENS COMBATTANTS,PROGRAMME DU TRIBUNAL D'APPEL DES ANCIENS COMBATTANTS,,PROGRAMME DU TRIBUNAL D'APPEL DES ANCIENS COMBATTANTS,PROGRAMME DU TRIBUNAL D'APPEL DES ANCIENS COMBATTANTS,1993930.428,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,REGIONAL INDUSTRIAL EXPANSION DEPARTMENT,REGIONAL INDUSTRIAL EXPANSION DEPARTMENT,,REGIONAL INDUSTRIAL EXPANSION DEPARTMENT,REGIONAL INDUSTRIAL EXPANSION DEPARTMENT,811485.0,,thousand,CAD,unclear,review,0.6,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,"S 1/75-32, 38, 63; S 1/76-47, 51, 88, 156; 1976-77,","S 1/75-32, 38, 63; S 1/76-47, 51, 88, 156; 1976-77,",,"S 1/75-32, 38, 63; S 1/76-47, 51, 88, 156; 1976-77,","S 1/75-32, 38, 63; S 1/76-47, 51, 88, 156; 1976-77,",1.987,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,"S1I76-11, 12","S1I76-11, 12",,"S1I76-11, 12","S1I76-11, 12",1.985,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,SECRÉTARIAT D'ÉTAT,SECRÉTARIAT D'ÉTAT,,SECRÉTARIAT D'ÉTAT,SECRÉTARIAT D'ÉTAT,16668.5,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,SOCIÉTÉ DE DÉVELOPPEMENT DE L'INDUSTRIE CINÉMATOGRAPHIQUE CANADIENNE,SOCIÉTÉ DE DÉVELOPPEMENT DE L'INDUSTRIE CINÉMATOGRAPHIQUE CANADIENNE,,SOCIÉTÉ DE DÉVELOPPEMENT DE L'INDUSTRIE CINÉMATOGRAPHIQUE CANADIENNE,SOCIÉTÉ DE DÉVELOPPEMENT DE L'INDUSTRIE CINÉMATOGRAPHIQUE CANADIENNE,24504.554,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
