country,year,issue_type,issue_label,missing_agency_years,outlier_agency_years,actions,gap_subtypes,agencies,run_docs_for_year,zero_row_docs_for_year,queue_source_files,run_source_files,diagnosis_excerpt,criticality_rank,criticality_score,severity
Canada,1991,parsed_but_zero_rows,Document ran but returned zero rows,0,2,verify,,Grains and Oilseeds Program | Parks Program,6,1,,1991-1.pdf | 1991-2.pdf | 1991-3.pdf,"Amount 949,929,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 1,269,571,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,1992,outlier_or_unit_break,Outlier or unit/currency break,0,3,verify,,"Grains and Oilseeds Program | Industry, Science and Technology Program | Parks Program",4,0,,1992-1.pdf | 1992-2.pdf,"Amount 18,681,700 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 1,889,927,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 10,895,784 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,1993,parsed_but_zero_rows,Document ran but returned zero rows,0,3,verify,,"Grains and Oilseeds Program | Industry, Science and Technology Program | Parks Program",8,1,,1993-1.pdf | 1993-2.pdf | 1993-3.pdf | 1993-4.pdf,"Amount 1,320,421,200 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 681,830,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 6,772,712 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,1994,parsed_but_zero_rows,Document ran but returned zero rows,0,6,verify,,Canadian Nuclear Safety Commission | Forest Program | Grains and Oilseeds Program | Industry and Science Development Program | Medical Research Council (MRC Canada) | Parks Program,8,1,,1994-1.pdf | 1994-2.pdf | 1994-3.pdf | 1994-4.pdf,"Amount 1,610,674,000 outside expected range [-145,194,500 – 721,731,000] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 29,063,585 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 598,926,900 outside expected range [-241,260,614 – 321,680,818] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,1995,outlier_or_unit_break,Outlier or unit/currency break,0,2,verify,,Energy Program | Forest Program,4,0,,1995-1.pdf | 1995-2.pdf,"Amount 826,485,100 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 776,406,667 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,1996,outlier_or_unit_break,Outlier or unit/currency break,0,2,verify,,Canadian Nuclear Safety Commission | PARICS Canada Program,4,0,,1996-1.pdf | 1996-2.pdf,"Amount 2,149,305,000 outside expected range [-241,260,614 – 321,680,818] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 19,737,691 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,1997,parsed_but_zero_rows,Document ran but returned zero rows,0,3,verify,,Canada Foundation for Innovation (CFI) | Medical Research Council (MRC Canada) | PARICS Canada Program,13,4,,1997-1.pdf | 1997-2.pdf | 1997-3.pdf | 1997-4.pdf | 1997-5.pdf | 1997-6.pdf,"Amount 3 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 1,721,029,084 outside expected range [-145,194,500 – 721,731,000] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 82,447,528 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,1998,outlier_or_unit_break,Outlier or unit/currency break,0,2,verify,,Canadian Polar Commission | Millennium Bureau of Canada,5,0,,1998-1.pdf | 1998-2.pdf,"Amount 73,391,667 outside expected range [-2,752,500 – 3,670,000] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 44,600,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,1999,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Millennium Bureau of Canada,4,0,,1999-1.pdf | 1999-2.pdf,"Amount 77,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2001,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Millennium Bureau of Canada,6,0,,2001 1 YX2-2001-1.pdf | 2001 2 YX2-2001-2.pdf | 2001 3 YX2-2001-3.pdf,"Amount 29,711,500 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
