year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1997,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1998,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,136759000.0,escudo,PTE,line_item,Lei orcamento para 1998.pdf,33,Data/input/finance_bills/Portugal/Lei orcamento para 1998.pdf,,Foundation for Science and Technology,covered_by_final_series,,,Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).
1998,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1999,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,14333071000.0,escudo,PTE,line_item,Lei orcamento para 1999.pdf,72,Data/input/finance_bills/Portugal/Lei orcamento para 1999.pdf,,FCT - Foundation for Science and Technology,covered_by_final_series,,,Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).
1999,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2000,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2000,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,"dropped after Portugal source audit: original page is a legal text, plurianual project table, or non-institutional support line rather than a clean agency appropriation"
2001,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,"Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; dropped after Portugal source audit: original page is a legal text, plurianual project table, or non-institutional support line rather than a clean agency appropriation"
2001,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2002,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,"Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; dropped after Portugal source audit: original page is a legal text, plurianual project table, or non-institutional support line rather than a clean agency appropriation"
2002,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,"dropped after Portugal source audit: original page is a legal text, plurianual project table, or non-institutional support line rather than a clean agency appropriation"
2003,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,"Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; dropped after Portugal source audit: original page is a legal text, plurianual project table, or non-institutional support line rather than a clean agency appropriation"
2003,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,"dropped after Portugal source audit: original page is a legal text, plurianual project table, or non-institutional support line rather than a clean agency appropriation"
2004,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,"Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; dropped after Portugal source audit: original page is a legal text, plurianual project table, or non-institutional support line rather than a clean agency appropriation"
2004,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2005,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,"Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; dropped after Portugal source audit: original page is a legal text, plurianual project table, or non-institutional support line rather than a clean agency appropriation"
2005,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2006,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2006,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,36747743.0,euro,EUR,verified_override,2006 00020361.pdf,77,Data/input/finance_bills/Portugal/2006 00020361.pdf,,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,verified_against_original_file,,,manual override from original Portugal budget file (MAPA VII / 2006 deterministic page-aligned parser)
